INDIAN ELECTIONS-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE ,   CONSTITUENCY,,  NAME,WINNER,   PARTY,  SYMBOL, GENDER,    AGE,       CATEGORY,,      EDUCATION,,          ASSESTS,,    POSTAL VOTES,       LIABILITIES,     TOTAL VOTES,,,,,,,OVERALL, TOTAL VOTES POLLED,,,        MARGIN,
KANGRA,HIMACHAL PRADESH,,DR RAJEEV BHARDWAJ,1,BJP,LOTUS,MALE,62,HINDU,,GRADUATE,,"Rs 5,87,23,886 ~5 Crore+",,,"Rs 4,24,821 ~4 Lacs+",632793,,,,,,,,,,,251895,
GUROGOAN,HARYANA,,RAO INDERJIT SINGH,1,BJP,LOTUS,MALE,74,HINDU,,GRADUATE,,"Rs 1,21,54,22,868 ~121 Crore",,,"Rs 13,36,70,844 ~13 Crore+",808336,,,,,,,,,,,75079,
GUROGOAN,HARYANA,,RAJ BABBAR,0,INC,HAND,MALE,71,HINDU,,GRADUATE,,"Rs 29,91,44,010 ~29 Crore+",,,"Rs 2,73,53,285 ~2 Crore+",733257,,,,,,,,,,,-75079,
FARIDABAD,HARYANA,,KRISHAN PAL,1,BJP,LOTUS,MALE,67,HINDU,,GRADUATE,,"Rs 62,58,15,843 ~62 Crore+",,,"Rs 3,98,47,200 ~3 Crore+",788569,,,,,,,,,,,172914,
FARIDABAD,HARYANA,,MAHENDER PRATAP SINGH,0,INC,HAND,MALE,79,SIKH,,12TH PASS,,"Rs 90,44,74,899 ~90 Crore+",,,NIL,615655,,,,,,,,,,,-172914,
BIJAPUR,KARNATAKA,,RAMESH JIGAJINAGI,1,BJP,LOTUS,MALE,71,HINDU,,GRADUATE,,"Rs 51,63,15,994 ~51 Crore+",,,"Rs 6,81,16,765 ~6 Crore+",672781,,,,,,,,,,,77229,
BIJAPUR,KARNATAKA,,RAJU ALAGUR.`,0,INC,HAND,MALE,64,HINDU,,POST GRADUATE,,"Rs 13,99,67,720 ~13 Crore+",,,NIL,595552,,,,,,,,,,,-77229,
BIJAPUR,KARNATAKA,,GANAPATI RATHOD (HANJAGI),0,KARNATAKA RASHTRA SAMITHI,NIL,MALE,44,HINDU,,NIL,,"Rs 28,82,500 ~28 Lacs+",,,"Rs 5,10,000 ~5 Lacs+",7691,,,,,,,,,,,-665090,
DHARWAD,KARNATAKA,,PRALHAD JOSHI,1,BJP,LOTUS,MALE,61,HINDU,,GRADUATE,,"	Rs 21,09,60,953 ~21 Crore+",,,"Rs 8,01,23,332 ~8 Crore+",716231,,,,,,,,,,,97324,
DHARWAD,KARNATAKA,,VINOD ASOOTI,0,INC,HAND,MALE,34,HINDU,,GRADUATE,,"Rs 16,19,58,107 ~16 Crore+",,,"Rs 4,50,54,582 ~4 Crore+",618907,,,,,,,,,,,-97324,
UTTARA KARNATAKA,KARNATAKA,,VISHWESHWAR HEGDE KAGERI,1,BJP,LOTUS,MALE,63,HINDU,,GRADUATE,,"Rs 16,74,09,004 ~16 Crore+",,,NIL,782495,,,,,,,,,,,337428,
UTTARA KARNATAKA,KARNATAKA,,DR. ANJALI NIMBALKAR,0,INC,HAND,FEMALE,47,HINDU,,POST GRADUATE,,"Rs 15,78,17,912 ~15 Crore+",,,"Rs 91,09,952 ~91 Lacs+",445067,,,,,,,,,,,-337428,
MYSORE,KARNATAKA,,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,1,BJP,LOTUS,MALE,32,HINDU,,GRADUATE,,"Rs 9,46,88,187 ~9 Crore+",,,NIL,795503,,,,,,,,,,,139262,
MYSORE,KARNATAKA,,M. LAKSHMANA,0,INC,HAND,MALE,59,HINDU,,GRADUATE,,"Rs 3,03,60,160 ~3 Crore+",,,"	Rs 35,30,980 ~35 Lacs+",656241,,,,,,,,,,,-139262,
MYSORE,KARNATAKA,,KADAMBA NAA AMBARISH,0,Karnataka Jantha Paksha,NIL,MALE,38,HINDU,,12TH PASS,,"Rs 8,99,000 ~8 Lacs+",,,"Rs 10,65,000 ~10 Lacs+",4080,,,,,,,,,,,-791423,
AJMER,RAJASTHAN,,BHAGIRATH CHOUDHARY,1,BJP,LOTUS,MALE,69,HINDU,,12TH PASS,,"Rs 13,38,11,555 ~13 Crore+",,,"Rs 54,32,413 ~54 Lacs+",7477462,,,,,,,,,,,329991,
AJMER,RAJSATHAN,,RAMCHANDRA CHOUDHARY,0,INC,HAND,MALE,79,HINDU,,POST GRADUATE,,"Rs 99,06,249 ~99 Lacs+",,,"Rs 9,735 ~9 Thou+",4174171,,,,,,,,,,,-329991,
AJMER,RAJASTHAN,,RAMDEV,0,BSP,NIL,MALE,45,HINDU,,8THPASS,,"Rs 2,83,000 ~2 Lacs+",,,NIL,4944,,,,,,,,,,,-742518,
DHUBRI,ASSAM,,RAKIBUL HUSSAIN,1,INC,HAND,MALE,59,MUSLIM,,POST GRADUATE,,"Rs 25,29,63,888 ~25 Crore+",,,"Rs 4,36,46,481 ~4 Crore+",1471885,,,,,,,,,,,1012476,
DHUBRI,ASSAM,,MOHAMMED BADRUDDIN AJMAL,1,All India United Democratic Front,NIL,MALE,68,MUSLIM,,POST GRADUATE,,"Rs 1,55,07,16,648 ~155 Crore+",,,"Rs 1,15,75,000 ~1 Crore+",459409,,,,,,,,,,,-1012476,
THIRUVANANTHAPURAM,KERALA,,SHASHI THAROOR,1,INC,HAND,MALE,68,HINDU,,DOCTORATE,,"Rs 56,06,56,126 ~56 Crore+",,,NIL,358155,,,,,,,,,,,16077,
THIRUVANANTHAPURAM,KERALA,,RAJEEV CHANDRASEKHAR,0,BJP,LOTUS,MALE,59,HINDU,,DOCTORATE,,"Rs 86,29,73,940 ~86 Crore+",,,"Rs 21,05,36,866 ~21 Crore+",358155,,,,,,,,,,,16077,
MAHARSHTRA,AMARVATI,,BALWANT BASWANT WANKHADE,1,INC,HAND,MALE,56,HINDU,,12TH PASS,,"Rs 1,73,58,730 ~1 Crore+",,,"Rs 31,07,392 ~31 Lacs+",526271,,,,,,,,,,,19731,
MAHARSHTRA,AMARVATI,,NAVNEET RAVI RANA,0,BJP,LOTUS,FEMALE,38,HINDU,,10TH PASS,,"Rs 17,55,53,400 ~17 Crore+",,,"Rs 10,29,95,392 ~10 Crore+",506540,,,,,,,,,,,-19731,
MAHRASHTRA,SOLAPUR,,PRANITI SUSHILKUMAR SHINDE,1,INC,HAND,FEMALE,43,HINDU,,GRADUATE,,"Rs 6,60,70,402 ~6 Crore+",,,NIL,620225,,,,,,,,,,,74197,
MAHRASHTRA,SOLAPUR,,RAM VITTHAL SATPUTE,0,BJP,LOTUS,MALE,36,HINDU,,GRADUATE,,"Rs 1,01,53,186 ~1 Crore+",,,"Rs 59,92,374 ~59 Lacs+",546028,,,,,,,,,,,-74197,
TAMIL NADU,KRISHNAGIRI,,GOPINATH K,1,INC,HAND,MALE,61,HINDU,,10TH PASS,,"Rs 12,34,05,500 ~12 Crore+",,,"Rs 10,41,98,082 ~10 Crore+",492883,,,,,,,,,,,192486,
TAMIL NADU,KRISHNAGIRI,,JAYAPRAKASH V,0,AIADMK,NIL,MALE,66,HINDU,,POST GRADUATE,,"Rs 1,35,78,14,428 ~135 Crore+",,,"Rs 4,36,04,466 ~4 Crore+",300397,,,,,,,,,,,-192486,
TAMIL NADU,CUDDALORE,,M.K. VISHNUPRASAD,1,INC,HAND,MALE,51,HINDU,,GRADUATE,,"	Rs 25,19,78,580 ~25 Crore+",,,"Rs 5,27,21,862 ~5 Crore+",455053,,,,,,,,,,,185896,
TAMIL NADU ,CUDDALORE,,P. SIVAKOZHUNDU,0,DMDK,NIL,MALE,58,HINDU,,5THPASS,,"Rs 84,08,000 ~84 Lacs+",,,"Rs 20,00,000 ~20 Lacs+",269157,,,,,,,,,,,-185896,
UTTAR PRADESH,GHAZIPUR,,AFZAL ANSARI,1,SAMAJWADI PARTY,NIL,MALE,70,MUSLIM,,POST GRADUATE,,"Rs 20,76,82,224 ~20 Crore+",,,NIL,539912,,,,,,,,,,,124861,
UTTAR PRADESH,GHAZIPUR,,PARS NATH RAI,0,BJP,LOTUS,MALE,69,HINDU,,POST GRADUATE,,"Rs 6,68,24,268 ~6 Crore+",,,"Rs 87,40,793 ~87 Lacs+",415051,,,,,,,,,,,-124861,
UTTAR PRADESH,JALAUN,,NARAYAN DAS AHIRWAR,1,SAMAJWADI PARTY,NIL,MALE,63,HINDU,,GRADUATE,,"Rs 7,36,03,801 ~7 Crore+",,,"Rs 6,00,000 ~6 Lacs+",530180,,,,,,,,,,,53898,
UTTAR PRADESH,JALAUN,,BHANU PRATAP SINGH VERMA,0,BJP,LOTUS,MALE,66,HINDU,,POST GRADUATE,,"Rs 96,59,844 ~96 Lacs+",,,NIL,476282,,,,,,,,,,,-53898,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
